original_term;original_term_clean;clean_name;country_origin;holding;studio_location
Spray;spray;Spray;JPN;;JPN
Springloaded;springloaded;Springloaded;SGP;;SGP
Sprite;sprite;Sprite;JPN;;JPN
Sproing;sproing;Sproing Interactive Media;AUT;;AUT
Sproing Interactive Media;sproing_interactive_media;Sproing Interactive Media;AUT;;AUT
Sproing Interactive Media / Deep Silver Vienna;sproing_interactive_media_deep_silver_vienna;Sproing Interactive Media;AUT;;AUT
Sproing Interactive Media GMBH;sproing_interactive_media_gmbh;Sproing Interactive Media;AUT;;AUT
Sprout Games;sprout_games;Sprout Games;USA;;USA
Spry Fox;spry_fox;Spry Fox;USA;Netflix;USA
Sprytes;sprytes;Sprytes;JPN;;JPN
SPS;sps;SPS;JPN;;JPN
SPS Co.,Ltd.;sps_co_ltd;SPS;JPN;;JPN
Spyn Doctor;spyn_doctor;Spyn Doctor Games;JPN;;JPN
Spyn Doctor Games;spyn_doctor_games;Spyn Doctor Games;USA;;USA
SqaureSoft;sqauresoft;SqaureSoft;JPN;;JPN
Squad;squad;Squad;JPN;;JPN
Squanch Games;squanch_games;Squanch Games;USA;;USA
Square;square;Square;JPN;Square Enix Holdings;JPN
Square EA;square_ea;Square EA;JPN;Square Enix Holdings;JPN
Square Enix;square_enix;Square Enix;JPN;Square Enix Holdings;JPN
Square Enix / Bones;square_enix_bones;Square Enix;JPN;Square Enix Holdings;JPN
Square Enix / Think and Feel Inc.;square_enix_think_and_feel_inc;Square Enix;JPN;Square Enix Holdings;JPN
Square Trio;square_trio;Square Trio;JPN;;JPN
Square USA;square_usa;Square;JPN;Square Enix Holdings;USA
Squarebananas;squarebananas;Square Bananas;USA;;USA
Square-Enix;square_enix;Square Enix;JPN;Square Enix Holdings;JPN
Squarehead Studios;squarehead_studios;SquareHead;USA;;USA
SquareSoft;squaresoft;SquareSoft;JPN;Square Enix Holdings;JPN
Squashy Software;squashy_software;Squashy Software;USA;;USA
SquigglyFrog Studios;squigglyfrog_studios;SquigglyFrog Studios;USA;;USA
Squimball;squimball;Squimball;JPN;;JPN
Squire Software;squire_software;Squire Software;USA;;USA
SRH;srh;SRH;JPN;;JPN
SSG;ssg;SSG;JPN;;JPN
SSI;ssi;SSI;FRA;Ubisoft;USA
SSI Tristar;ssi_tristar;SSI;FRA;Ubisoft;USA
ST Entertainment, KRGsoft;st_entertainment_krgsoft;ST Entertainment;JPN;;JPN
Stack;stack;Stack;JPN;;JPN
Stage Clear Studios;stage_clear_studios;Stage Clear Studios;ESP;;ESP
Stainless;stainless;Stainless Games;GBR;;GBR
Stainless Games;stainless_games;Stainless Games;GBR;;GBR
Stainless Steel Studios;stainless_steel_studios;Stainless Studios;USA;;USA
Stainless Studios Ltd.;stainless_studios_ltd;Stainless Studios;USA;;USA
Stairway Games;stairway_games;Stairway Games;USA;;USA
Stalker Entertainment;stalker_entertainment;Stalker Entertainment;JPN;;JPN
Stamp;stamp;Stamp;JPN;;JPN
Star Cave Studios;star_cave_studios;Star Cave Studios;USA;;USA
Star Cave Studios Limited;star_cave_studios_limited;Star Cave Studios;USA;;USA
Star Gaming Network;star_gaming_network;Star Gaming Network;JPN;;JPN
StarBlade;starblade;StarBlade;JPN;;JPN
Starbreeze;starbreeze;Starbreeze Studios;SWE;;SWE
Starbreeze Studios;starbreeze_studios;Starbreeze Studios;SWE;;SWE
Starbreeze Studios AB;starbreeze_studios_ab;Starbreeze Studios;SWE;;SWE
Starbreeze Studios/Tigon Studios;starbreeze_studios_tigon_studios;Starbreeze Studios;USA;;USA
Starcat Developments;starcat_developments;Starcat Developments;JPN;;JPN
Stardock;stardock;Stardock;USA;;USA
Stardust KRNKRN;stardust_krnkrn;Stardust;JPN;;JPN
Starfire Studios;starfire_studios;Starfire Studios;USA;;USA
Starfish;starfish;Starfish SD;JPN;;JPN
Starfish  Inc.;starfish_inc;Starfish SD;JPN;;JPN
Starfish Inc.;starfish_inc;Starfish SD;JPN;;JPN
Starfish SD;starfish_sd;Starfish SD;JPN;;JPN
Starfish-SD, Inc.;starfish_sd_inc;Starfish SD;JPN;;JPN
Stargate Productions;stargate_productions;Stargate Productions;JPN;;JPN
StarHill;starhill;StarHill;JPN;;JPN
Starlit Sky Games;starlit_sky_games;Starlit Sky Games;USA;;USA
Starpath Corp.;starpath_corp;Starpath;USA;;USA
Starplay;starplay;Starplay;JPN;;JPN
Starsign;starsign;Starsign;JPN;;JPN
Starsoft Development Laboratories, Inc.;starsoft_development_laboratories_inc;Starsoft Development;JPN;;JPN
Starsphere Interactive;starsphere_interactive;Starsphere Interactive;USA;;USA
Starsphere Interactive, Inc.;starsphere_interactive_inc;Starsphere Interactive;USA;;USA
StarSystemStudios;starsystemstudios;StarSystemStudios;USA;;USA
StartLink;startlink;StartLink;JPN;;JPN
Starward Industries;starward_industries;Starward Industries;JPN;;JPN
StarWraith;starwraith;StarWraith;JPN;;JPN
StarWraith 3D Games;starwraith_3d_games;StarWraith;USA;;USA
State of Play Games;state_of_play_games;State of Play Games;GBR;;GBR
Stealth Studios;stealth_studios;Stealth Studios;USA;;USA
Steambot Studios;steambot_studios;Steambot Studios;USA;;USA
Steel Crate Games;steel_crate_games;Steel Crate Games;USA;;USA
Steel Mantis;steel_mantis;Steel Mantis;JPN;;JPN
Steel Monkeys;steel_monkeys;Steel Monkeys;JPN;;JPN
Steel Penny Games;steel_penny_games;Steel Penny Games;USA;;USA
Steel Wool Games;steel_wool_games;Steel Wool Studios;USA;;USA
Steel Wool Studios;steel_wool_studios;Steel Wool Studios;USA;;USA
Steelkrill Studio;steelkrill_studio;Steelkrill Studio;JPN;;JPN
Stegersaurus Games;stegersaurus_games;Stegersaurus Games;USA;;USA
Stegersaurus Games 2;stegersaurus_games_2;Stegersaurus Games 2;USA;;USA
Stegosoft Games;stegosoft_games;Stegosoft Games;USA;;USA
Stellar Entertainment;stellar_entertainment;Stellar Entertainment;JPN;;JPN
Stellar Stone;stellar_stone;Stellar Entertainment;USA;;USA
Stellar Stone LLC;stellar_stone_llc;Stellar Entertainment;USA;;USA
Stendec Games;stendec_games;Stendec Games;USA;;USA
Stephen M Bennett;stephen_m_bennett;Stephen M Bennett;JPN;;JPN
Sterling Silver Software;sterling_silver_software;Sterling Silver Software;USA;;USA
Stern;stern;Stern;JPN;;JPN
Stern Electronics;stern_electronics;Stern Electronics;USA;;USA
Steve Bjork;steve_bjork;Steve Bjork;JPN;;JPN
Steve G;steve_g;Steve G;JPN;;JPN
Steve Roe;steve_roe;Steve Roe;JPN;;JPN
Steven Jones;steven_jones;Steven Jones;JPN;;JPN
steveo0209;steveo0209;Steveo0209;JPN;;JPN
SteveProXNA;steveproxna;SteveProXNA;GBR;;GBR
Stewart Taylor;stewart_taylor;Stewart Taylor;GBR;;GBR
Stickmen Studios;stickmen_studios;Stickmen Studios;NZL;;NZL
Sticky Ice Games;sticky_ice_games;Sticky Ice Games;USA;;USA
StickyStoneStudio;stickystonestudio;StickyStoneStudio;DEU;;DEU
stillalive studios;stillalive_studios;Stillalive Studios;AUT;;AUT
Sting;sting;Sting;JPN;;JPN
Stinky Badger Games;stinky_badger_games;Stinky Badger Games;USA;;USA
Stir Fry Games;stir_fry_games;Stir Fry Games;CAN;;CAN
Stockpile Studio;stockpile_studio;Stockpile Studio;USA;;USA
Stockton;stockton;Stockton;USA;;USA
Stoic Studio;stoic_studio;Stoic Studio;USA;;USA
Stolen Couch Games;stolen_couch_games;Stolen Couch Games;NLD;;NLD
Stolpskott Studios;stolpskott_studios;Stolpskott Studios;SWE;;SWE
Stone Heads;stone_heads;Stone Heads;ITA;;ITA
Storm City Entertainment;storm_city_entertainment;Storm City Entertainment;USA;;USA
Storm City Games;storm_city_games;Storm City Entertainment;USA;;USA
Storm in a Teacup;storm_in_a_teacup;Storm in a Teacup;ITA;;ITA
StormBASIC;stormbasic;StormBASIC;ESP;;ESP
StormBasic Games;stormbasic_games;StormBasic Games;ESP;;ESP
Stormcloud Games;stormcloud_games;Stormcloud Games;GBR;;GBR
Stormfront Studios;stormfront_studios;Stormfront Studios;USA;;USA
Stormind Games;stormind_games;Stormind Games;ITA;;ITA
Stormregion;stormregion;Stormregion;HUN;;HUN
Stout Games;stout_games;Stout Games;USA;;USA
Straandlooper;straandlooper;Straandlooper;GBR;;GBR
straka.studio;straka_studio;Straka Studio;CZE;;CZE
Stranga;stranga;Stranga;GBR;;GBR
Strange Fire;strange_fire;Strange Fire;USA;;USA
Strange Flavour;strange_flavour;Strange Flavour;GBR;;GBR
Strange Games;strange_games;Strange Games;USA;;USA
Strange Scaffold;strange_scaffold;Strange Scaffold;USA;;USA
Strangelite;strangelite;Strangelite;GBR;Empire Interactive;GBR
Strass Productions;strass_productions;Strass Productions;FRA;;FRA
Strategic Simulations;strategic_simulations;Strategic Simulations;FRA;Ubisoft;USA
Strategic Simulations Inc;strategic_simulations_inc;Strategic Simulations;FRA;Ubisoft;USA
Strategic Simulations, Inc;strategic_simulations_inc;Strategic Simulations;FRA;Ubisoft;USA
Strategic Simulations, Inc.;strategic_simulations_inc;Strategic Simulations;FRA;Ubisoft;USA
Strategic Studies Group;strategic_studies_group;Strategic Studies Group;AUS;;AUS
Strategic Visions;strategic_visions;Strategic Visions;USA;;USA
Strategy First;strategy_first;Strategy First;CAN;;CAN
Strategy First / Cypron Studios;strategy_first_cypron_studios;Strategy First;CAN;;CAN
Strawdog Studios;strawdog_studios;Strawdog Studios;GBR;;GBR
Strawdog Studios Ltd.;strawdog_studios_ltd;Strawdog Studios;GBR;;GBR
Strawdogs Studios Limited;strawdogs_studios_limited;Strawdog Studios;GBR;;GBR
Streamline Studios;streamline_studios;Streamline Studios;MYS;;MYS
Streko-Graphics Inc.;streko_graphics_inc;Streko Graphics;RUS;;RUS
Stress Level Zero;stress_level_zero;Stress Level Zero;USA;;USA
Streum On Studio;streum_on_studio;Streum On Studio;FRA;Focus Entertainment;FRA
Striking Distance Studios;striking_distance_studios;Striking Distance Studios;KOR;Krafton;USA
Studfarm Studios;studfarm_studios;Studfarm Studios;USA;;USA
Studio 3;studio_3;Studio 3;JPN;;JPN
Studio 33;studio_33;Studio 33;JPN;Sony Interactive Entertainment;GBR
Studio Altair;studio_altair;Studio Altair;JPN;;JPN
Studio Archcraft;studio_archcraft;Studio Archcraft;USA;;USA
Studio Artdink;studio_artdink;Artdink;JPN;;JPN
Studio Beast;studio_beast;Studio Beast;JPN;;JPN
Studio des Tenebres;studio_des_tenebres;Studio des Tenebres;FRA;;FRA
Studio E;studio_e;Studio E;USA;;USA
Studio Ebisu;studio_ebisu;Studio Ebisu;JPN;;JPN
Studio e-go;studio_e_go;Studio e Go;JPN;;JPN
Studio Elan;studio_elan;Studio Elan;USA;;USA
Studio Evil;studio_evil;Studio Evil;ITA;;ITA
Studio Fawn;studio_fawn;Studio Fawn;USA;;USA
Studio Fizbin;studio_fizbin;Studio Fizbin;DEU;;DEU
Studio F-Sharp;studio_f_sharp;Studio F Sharp;JPN;;JPN
Studio Gauntlet;studio_gauntlet;Studio Gauntlet;NOR;;NOR
Studio Gigante;studio_gigante;Studio Gigante;USA;;USA
Studio Hunty;studio_hunty;Studio Hunty;AUS;;AUS
Studio Kame;studio_kame;Studio Kame;JPN;;JPN
Studio Kiku;studio_kiku;Studio Kiku;GBR;;GBR
Studio Liverpool;studio_liverpool;Studio Liverpool;JPN;Sony Interactive Entertainment;GBR
Studio Maka;studio_maka;Studio Maka;JPN;;JPN
Studio MDHR;studio_mdhr;Studio MDHR;CAN;;CAN
Studio Neko Punch;studio_neko_punch;Studio Neko Punch;JPN;;JPN
Studio Pixel;studio_pixel;Studio Pixel;JPN;;JPN
Studio Pixel Punk;studio_pixel_punk;Studio Pixel Punk;BRA;;BRA
Studio Saizensen;studio_saizensen;Studio Saizensen;JPN;;JPN
Studio Seufz;studio_seufz;Studio Seufz;DEU;;DEU
Studio Siesta;studio_siesta;Studio Siesta;JPN;;JPN
Studio Walljump;studio_walljump;Studio Walljump;USA;;USA
Studio Wildcard;studio_wildcard;Studio Wildcard;USA;;USA
Studio Wonder Effect;studio_wonder_effect;Studio Wonder Effect;JPN;;JPN
Studio Zan;studio_zan;Studio Zan;JPN;;JPN
Studio9;studio9;Studio9;JPN;;JPN
StudioBlack Games;studioblack_games;StudioBlack Games;USA;;USA
StudioGuineaPig;studioguineapig;StudioGuineaPig;JPN;;JPN
StudioInkyfox;studioinkyfox;StudioInkyfox;GBR;;GBR
StudioS;studios;StudioS;JPN;;JPN
Stunlock Studios;stunlock_studios;Stunlock Studios;CHN;Tencent;SWE
Subatomic Studios;subatomic_studios;Subatomic Studios;USA;;USA
Subby and Sun's Games;subby_and_sun_s_games;Subby and Suns Games;USA;;USA
Subdued Software;subdued_software;Subdued Software;USA;;USA
Subdued SoftwareSubdued Software;subdued_softwaresubdued_software;Subdued Software;USA;;USA
Subliminal;subliminal;Subliminal;GBR;;GBR
Sublogic;sublogic;Sublogic;USA;;USA
Subset Games;subset_games;Subset Games;USA;;USA
Subsoap;subsoap;Subsoap;USA;;USA
Substantial Inc.;substantial_inc;Substantial;USA;;USA
Subtle Abberation;subtle_abberation;Subtle Abberation;USA;;USA
Success;success;Success;JPN;;JPN
Sucker Punch;sucker_punch;Sucker Punch Productions;JPN;Sony Interactive Entertainment;USA
Sucker Punch Productions;sucker_punch_productions;Sucker Punch Productions;JPN;Sony Interactive Entertainment;USA
SuckerFree Games;suckerfree_games;SuckerFree Games;USA;;USA
Sudden Games;sudden_games;Sudden Games;USA;;USA
Sudden Games LLC;sudden_games_llc;Sudden Games;USA;;USA
Sugar & Rockets;sugar_rockets;Sugar & Rockets;JPN;Sony Interactive Entertainment;JPN
Sukeban Games;sukeban_games;Sukeban Games;VEN;;VEN
Sumikko Soft;sumikko_soft;Sumikko Soft;JPN;;JPN
Summitsoft;summitsoft;Summitsoft Entertainment;USA;;USA
Summitsoft Entertainment;summitsoft_entertainment;Summitsoft Entertainment;USA;;USA
Sumo Digital;sumo_digital;Sumo Digital;CHN;Tencent;GBR
Sumo Digital Ltd;sumo_digital_ltd;Sumo Digital;CHN;Tencent;GBR
SUMO interactive;sumo_interactive;Sumo Digital;CHN;Tencent;GBR
SUMS Online Ltd;sums_online_ltd;SUMS Online;GBR;;GBR
Sun Amusement;sun_amusement;Sun Amusement;JPN;;JPN
Sun Storm;sun_storm;Sun Storm;USA;;USA
SUN Studio;sun_studio;SUN Studio;JPN;;JPN
Sunborn Games Technology Co;sunborn_games_technology_co;Sunborn Games Technology;CHN;;CHN
Sunflower Studios;sunflower_studios;Sunflower Studios;FRA;Ubisoft;DEU
Sunflowers;sunflowers;Sunflower Studios;FRA;Ubisoft;DEU
Sunflowers Interactive;sunflowers_interactive;Sunflower Studios;FRA;Ubisoft;DEU
Sunight Games;sunight_games;Sunight Games;USA;;USA
Sunny Tam;sunny_tam;Sunny Tam;HKG;;HKG
Sunrise Games Ltd.;sunrise_games_ltd;Sunrise Games;GBR;;GBR
Sunrise Interactive;sunrise_interactive;Sunrise Interactive;JPN;Bandai Namco;JPN
Sunrise Software Inc.;sunrise_software_inc;Sunset Entertainment;USA;;USA
Sunset Entertainment;sunset_entertainment;Sunset Entertainment;USA;;USA
Sunset Entertainment, Inc.;sunset_entertainment_inc;Sunset Entertainment;USA;;USA
Sunsoft;sunsoft;Sunsoft Corporation;JPN;;JPN
Sunstorm Interactive;sunstorm_interactive;Sunstorm Interactive;USA;;USA
Super Boise 2;super_boise_2;Super Boise 2;USA;;USA
Super Empire;super_empire;Super Empire;USA;;USA
Super Fighter Team;super_fighter_team;Super Fighter Team;USA;;USA
Super Gravelyn Bros;super_gravelyn_bros;Super Gravelyn Bros;USA;;USA
Super Id;super_id;Super Id;USA;;USA
Super Mawl;super_mawl;Super Mawl;USA;;USA
Super Mega Team;super_mega_team;Super Mega Team;ESP;;ESP
super moggy;super_moggy;Super Moggy;USA;;USA
Super X Studios;super_x_studios;Super X Studios;USA;;USA
Superanimaniax;superanimaniax;Superanimaniax;USA;;USA
Superboss Creations;superboss_creations;Superboss Creations;USA;;USA
SuperBot Entertainment;superbot_entertainment;SuperBot Entertainment;USA;;USA
Superbrothers;superbrothers;Superbrothers;CAN;;CAN
Supergiant Games;supergiant_games;Supergiant Games;USA;;USA
Supergonk;supergonk;Supergonk;GBR;;GBR
SUPERHOT Team;superhot_team;SuperHot Team;POL;;POL
Supermassive Games Ltd.;supermassive_games_ltd;Supermassive Games;DNK;Nordisk Film;GBR
Supermono Studios;supermono_studios;Supermono Studios;GBR;;GBR
Superscape;superscape;Superscape;USA;Electronic Arts;GBR
Supersolid Ltd;supersolid_ltd;Supersolid;GBR;;GBR
Supersonic;supersonic;Supersonic Software;GBR;;GBR
Supersonic Software;supersonic_software;Supersonic Software;GBR;;GBR
Superstring;superstring;Superstring;GBR;;GBR
SuperVillain Studios;supervillain_studios;SuperVillain Studios;USA;;USA
supps;supps;Supps;USA;;USA
Sur de Wave;sur_de_wave;Sur de Wave;JPN;;JPN
Suricate Software;suricate_software;Suricate Software;DEU;;DEU
Surreal Software;surreal_software;Surreal Software;USA;Warner Bros Discovery;USA
Survios;survios;Survios;USA;;USA
Survive;survive;Survive;JPN;;JPN
Sushee;sushee;Sushee;FRA;;FRA
Sushi Typhoon Games;sushi_typhoon_games;Sushi Typhoon Games;JPN;;JPN
Suspicious Developments;suspicious_developments;Suspicious Developments;GBR;;GBR
suxamethonium;suxamethonium;Suxamethonium;JPN;;JPN
Suzak;suzak;Suzak;JPN;;JPN
Suzak / Nicoli;suzak_nicoli;Suzak;JPN;;JPN
Svarog Studios;svarog_studios;Svarog Studios;USA;;USA
SVG Distribution;svg_distribution;SVG Distribution;USA;;USA
Swampopus;swampopus;Swampopus;USA;;USA
Swan;swan;Swan;JPN;;JPN
Sweet Bandits Studios;sweet_bandits_studios;Sweet Bandits Studios;SWE;Embracer Group;CAN
Sweet Basil;sweet_basil;Sweet Basil;JPN;;JPN
Sweets;sweets;Sweets;JPN;;JPN
Swift Apps;swift_apps;Swift Apps;USA;;USA
Swing Swing Submarine;swing_swing_submarine;Swing Swing Submarine;FRA;;FRA
Swing! Entertainment;swing_entertainment;Swing Entertainment;DEU;;DEU
Swingin' Ape Studios;swingin_ape_studios;Swingin Ape Studios;USA;Microsoft Corporation;USA
Switchblade Monkeys;switchblade_monkeys;Switchblade Monkeys;USA;;USA
Sword and Axe;sword_and_axe;Sword and Axe;USA;;USA
Swordfish Studios;swordfish_studios;Swordfish Studios;USA;Microsoft Corporation;GBR
Swordtales;swordtales;Swordtales;BRA;;BRA
Syangrila;syangrila;Syangrila;JPN;;JPN
Sydney Development;sydney_development;Sydney Development;CAN;;CAN
Sydney Development Corporation;sydney_development_corporation;Sydney Development;CAN;;CAN
Symphony;symphony;Symphony;JPN;;JPN
syn Sophia;syn_sophia;Syn Sophia;JPN;;JPN
Synapse Software;synapse_software;Synapse Software;USA;Atari SA;USA
Synergistic Software;synergistic_software;Synergistic Software;USA;Microsoft Corporation;USA
Synergistic Software, Inc.;synergistic_software_inc;Synergistic Software;USA;Microsoft Corporation;USA
Synergistik Software;synergistik_software;Synergistik Software;USA;Microsoft Corporation;USA
Synergy Inc.;synergy_inc;Synergy;JPN;;JPN
Synergystic Software;synergystic_software;Synergystic Software;USA;;USA
Synetic;synetic;Synetic;JPN;;JPN
Synnergy Circle Games;synnergy_circle_games;Synnergy Circle Games;USA;;USA
Syntetic Dreams;syntetic_dreams;Syntetic Dreams;JPN;;JPN
Synthetic Dimensions;synthetic_dimensions;Synthetic Dimensions;JPN;;JPN
Syrox Developments;syrox_developments;Syrox Developments;JPN;;JPN
Syrox Developments, Ltd.;syrox_developments_ltd;Syrox Developments;JPN;;JPN
Syscom;syscom;Syscom Entertainment;JPN;;JPN
Syscom Entertainment;syscom_entertainment;Syscom Entertainment;JPN;;JPN
System 3;system_3;System 3;JPN;;JPN
System 3 Arcade Software;system_3_arcade_software;System 3 Software;USA;;USA
System 3 Software;system_3_software;System 3 Software;USA;;USA
System Prisma;system_prisma;System Prisma;JPN;;JPN
System Sacom;system_sacom;System Sacom;JPN;;JPN
System Soft;system_soft;System Soft;JPN;;JPN
System Soft Alpha;system_soft_alpha;System Soft;JPN;;JPN
System Vision;system_vision;System Vision;JPN;;JPN
Systemic Reaction;systemic_reaction;Systemic Reaction;JPN;;JPN
SystemSoft;systemsoft;System Soft;JPN;;JPN
SystemSoft Alpha;systemsoft_alpha;System Soft;JPN;;JPN
T Rexagon;t_rexagon;T Rexagon;USA;;USA
T&E Soft;t_e_soft;T&E Soft;JPN;;JPN
T&S;t_s;T&S;JPN;;JPN
T&S Ltd.;t_s_ltd;T&S;JPN;;JPN
T3 Entertainment;t3_entertainment;T3 Entertainment;KOR;;KOR
T7 Games;t7_games;T7 Games;USA;;USA
Tachyon Inc.;tachyon_inc;Tachyon;USA;;USA
Tackemon;tackemon;Tackemon;JPN;;JPN
TACS Games;tacs_games;TACS Games;GBR;;GBR
Tactical Design  Group;tactical_design_group;Tactical Development;USA;;USA
Tactical Development;tactical_development;Tactical Development;USA;;USA
Tactics;tactics;Tactics;JPN;;JPN
TAD Corporation;tad_corporation;TAD;JPN;;JPN
Tadashi;tadashi;Tadashi;JPN;;JPN
Tafter;tafter;Tafter;JPN;;JPN
Tag Games;tag_games;Tag Games;GBR;;GBR
Tahoe Software;tahoe_software;Tahoe Software;USA;;USA
Taioto;taioto;Taioto;JPN;;JPN
Taito;taito;Taito;JPN;Square Enix Holdings;JPN
Taito Corporation;taito_corporation;Taito;JPN;Square Enix Holdings;JPN
TaitoÂ Corporation;taito_corporation;Taito;JPN;Square Enix Holdings;JPN
Takagism Inc.;takagism_inc;Takagism;JPN;;JPN
Takara;takara;Takara;JPN;Takara Tomy;JPN
Takara / Aspect Co.;takara_aspect_co;Takara;JPN;Takara Tomy;JPN
Takara Tomy;takara_tomy;Takara;JPN;Takara Tomy;JPN
Takara Tomy ARTS;takara_tomy_arts;Takara;JPN;Takara Tomy;JPN
Takara-Tomy;takara_tomy;Takara;JPN;Takara Tomy;JPN
Take 2 Interactive;take_2_interactive;Take Two Interactive;USA;Take Two Interactive;USA
Takeru;takeru;Takeru;JPN;;JPN
Takeshi Yoshimura;takeshi_yoshimura;Takeshi Yoshimura;JPN;;JPN
TakeTake55;taketake55;TakeTake55;JPN;;JPN
Take-Two Interactive;take_two_interactive;Take Two Interactive;USA;Take Two Interactive;USA
Taki;taki;Taki;JPN;;JPN
Takumi;takumi;Takumi;JPN;;JPN
Takumi Corporation;takumi_corporation;Takumi;JPN;;JPN
Takuyo;takuyo;Takuyo;JPN;;JPN
Taldren;taldren;Taldren;USA;;USA
Tale of Tales;tale_of_tales;Tale of Tales;BEL;;BEL
Tales Shop;tales_shop;Tales Shop;KOR;;KOR
Taleworlds;taleworlds;Taleworlds;TUR;;TUR
Talking Stick Games;talking_stick_games;Talking Stick Games;USA;;USA
TalonSoft;talonsoft;TalonSoft;USA;Take Two Interactive;USA
Talryyn;talryyn;Talryyn;USA;;USA
Tammeka Games;tammeka_games;Tammeka Games;GBR;;GBR
Tamsoft;tamsoft;Tamsoft;JPN;;JPN
Tamsoft Corporation;tamsoft_corporation;Tamsoft;JPN;;JPN
TamTam;tamtam;TamTam;JPN;;JPN
Tamtex;tamtex;Tamtex;JPN;;JPN
Tandy Corporation;tandy_corporation;Tandy;USA;;USA
Tangentlemen;tangentlemen;Tangentlemen;USA;;USA
Tango Gameworks;tango_gameworks;Tango Gameworks;USA;Microsoft Corporation;JPN
Tangram3D;tangram3d;Tangram3D;FRA;;FRA
Tangrin Entertainment;tangrin_entertainment;Tangrin Entertainment;NLD;;NLD
Taniko;taniko;Taniko;JPN;;JPN
Tantalus;tantalus;Tantatus Interactive;IRL;Keywords Studios;AUS
Tantalus Interactive;tantalus_interactive;Tantatus Interactive;IRL;Keywords Studios;AUS
Tantatus;tantatus;Tantatus Interactive;IRL;Keywords Studios;AUS
Tantatus Interactive;tantatus_interactive;Tantatus Interactive;IRL;Keywords Studios;AUS
Tantrum Entertainment;tantrum_entertainment;Tantrum Entertainment;USA;;USA
Tao Human;tao_human;Tao Human;JPN;;JPN
Tap4Fun;tap4fun;Tap For Fun;CHN;;CHN
Tapps Tecnologia da Informao Ltda.;tapps_tecnologia_da_informao_ltda;Tapps Tecnologia;BRA;;BRA
Tarantula Studios;tarantula_studios;Tarantula Studios;USA;Take Two Interactive;GBR
Targem Games;targem_games;Targem Games;RUS;;RUS
Tarsier Studios;tarsier_studios;Tarsier Studios;SWE;Embracer Group;SWE
Tasharen Entertainment Inc.;tasharen_entertainment_inc;Tasharen Entertainment;CAN;;CAN
Tasuke;tasuke;Tasuke;JPN;;JPN
Tate Interactive;tate_interactive;Tate Multimedia;POL;;POL
Tate Multimedia;tate_multimedia;Tate Multimedia;POL;;POL
Tatem Games;tatem_games;Tatem Games;UKR;;UKR
Tatsunoko Production;tatsunoko_production;Tatsunoko Production;JPN;;JPN
Tatsunoko Productions;tatsunoko_productions;Tatsunoko Production;JPN;;JPN
Tatyana Murzina;tatyana_murzina;Tatyana Murzina;RUS;;RUS
Taxan;taxan;Taxan;JPN;Kaga Electronics;JPN
TBA;tba;TBA;-;;-
TBD;tbd;TBD;-;;-
TBS;tbs;TBS;USA;Warner Bros Discovery;USA
TCC;tcc;TCC;JPN;;JPN
TDK Core;tdk_core;TDK Core;USA;Take Two Interactive;JPN
TDK Mediactive;tdk_mediactive;TDK Mediactive;USA;Take Two Interactive;USA
Team .366;team_366;Team 366;JPN;;JPN
Team 17;team_17;Team17;GBR;;GBR
Team 3 Games;team_3_games;Team 3 Games;USA;;USA
Team 6 Games Studio;team_6_games_studio;Team 6 Games Studio;NLD;;NLD
Team Amorous;team_amorous;Team Amorous;USA;;USA
Team Andromeda;team_andromeda;Team Andromeda;JPN;Sega Sammy Holdings;JPN
Team Aquila;team_aquila;Team Aquila;USA;;USA
Team Arcana;team_arcana;Team Arcana;JPN;;JPN
Team Battle Reel;team_battle_reel;Team Battle Reel;USA;;USA
team BitClub;team_bitclub;Team BitClub;JPN;;JPN
Team Bloodlust;team_bloodlust;Team Bloodlust;KOR;NCSoft;KOR
Team Bondi;team_bondi;Team Bondi;AUS;;AUS
Team Breakout;team_breakout;Team Breakout;USA;;USA
Team Bughouse;team_bughouse;Team Bughouse;USA;;USA
Team Cherry;team_cherry;Team Cherry;AUS;;AUS
Team Colorblind;team_colorblind;Team Colorblind;USA;;USA
Team Dakota;team_dakota;Team Dakota;USA;Microsoft Corporation;USA
Team Destiny;team_destiny;Team Destiny;JPN;;JPN
Team DYO;team_dyo;Team DYO;DEU;;DEU
Team Evolve;team_evolve;Team Evolve;USA;;USA
Team Fusion;team_fusion;Team Fusion;GBR;;GBR
team GARAGE;team_garage;Team GARAGE;JPN;;JPN
Team Gotham;team_gotham;Team Gotham;ESP;;ESP
Team GrisGris;team_grisgris;Team GrisGris;JPN;;JPN
Team Hindsight;team_hindsight;Team Hindsight;USA;;USA
TEAM HORAY;team_horay;Team Horay;IDN;;IDN
Team ICO;team_ico;Team ICO;JPN;Sony Interactive Entertainment;JPN
Team Indev;team_indev;Team Indev;USA;;USA
Team Junkfish;team_junkfish;Team Junkfish;GBR;;GBR
Team Ladybug;team_ladybug;Team Ladybug;JPN;;JPN
Team Land Ho!;team_land_ho;Team Land Ho!;JPN;;JPN
Team Mango;team_mango;Team Mango;GBR;;GBR
Team Meat;team_meat;Team Meat;USA;;USA
Team Nekojishi;team_nekojishi;Team Nekojishi;TWN;;TWN
Team Ninja;team_ninja;Team Ninja;JPN;Koei Tecmo Holdings;JPN
Team OFK;team_ofk;Team OFK;USA;;USA
Team Ramrod;team_ramrod;Team Ramrod;USA;;USA
