original_term;original_term_clean;clean_name;country_origin;holding;studio_location
Aeon;aeon;Aeon;JPN;;JPN
Aeon Electronic Entertainment;aeon_electronic;Aeon Electronic;USA;;USA
Aeria Games & Entertainment;aeria_games_entertainment;Aeria Games;SWE;;SWE
Aeroplane Heaven;aeroplane_heaven;Aeroplane Heaven;GBR;;GBR
Aerosoft;aerosoft;Aerosoft;DEU;;DEU
Aexol;aexol;Aexol;POL;;POL
Affect;affect;Affect;JPN;;JPN
Affect Co., Ltd.;affect;Affect;JPN;;JPN
Afterburn;afterburn;Afterburn;POL;;POL
Afterburner Studios;afterburner;Afterburner;USA;;USA
AftercastGames;aftercastgames;AftercastGames;USA;;USA
Afterthought Studios;afterthought;Afterthought;USA;;USA
Agate Studio;agate_studio;Agate Studio;IDN;;IDN
Agatsuma Entertainment;agatsuma;Agatsuma;JPN;;JPN
AGD Interactive;agd_interactive;AGD Interactive;USA;;USA
age;age;Age;JPN;;JPN
Agenda;agenda;Agenda;JPN;;JPN
Agenda, C.A. Production, NDcube;ndcube;NDcube;JPN;Nintendo;JPN
AGENIUS Interactive;agenius;Agenius;NOR;;NOR
AGENIUS Interactive AS;agenius;Agenius;NOR;;NOR
Agent MOO;agent_moo;Agent MOO;USA;;USA
AGEOD;ageod;Ageod;GBR;Slitherine Software;FRA
Agetec;agetec;Agetec;USA;;USA
Agetec Inc.;agetec;Agetec;USA;;USA
Agharta Studio;agharta_studio;Agharta Studio;FRA;;FRA
AGM Playism;playism;Active Gaming Media;JPN;;JPN
Aheartfulofgames;aheartfulofgames;Aheartfulofgames;ESP;;ESP
AI;ai;AI;JPN;;JPN
AI Factory;ai_factory;AI Factory;GBR;;GBR
AIA;aia;AIA;USA;;USA
Aicom;aicom_corporation;Aicom;JPN;Sega Sammy Holdings;JPN
Aicom Corporation;aicom_corporation;Aicom;JPN;Sega Sammy Holdings;JPN
AIE LLC;aie;AIE;USA;;USA
AIGRIND;aigrind;AIGRIND;RUS;;RUS
Ail;ail;Ail;JPN;;JPN
AIM;aim;AIM;JPN;;JPN
AIP Mobile;aip_mobile;AIP Mobile;USA;;USA
AirPlay;airplay;AirPlay;USA;;USA
Airship Syndicate;airship_syndicate;Airship Syndicate;USA;;USA
Airtight Games;airtight_games;Airtight Games;USA;;USA
Aisystem Tokyo;aisystem_tokyo;Aisystem Tokyo;JPN;;JPN
AIUEO-KAN;aiueo_kan;Aiueo Kan;JPN;;JPN
Aiya Studio;aiya_studio;Aiya Studio;CHN;;CHN
AJTilley;ajtilley;AJTilley;GBR;;GBR
Akabee Soft 2;akabeisoft2;Akabeisoft2;JPN;;JPN
AKABEi SOFT2;akabeisoft2;Akabeisoft2;JPN;;JPN
Akakiy Petrushkin;akakiy_petrushkin;Akakiy Petrushkin;RUS;;RUS
Akaoni Studio;akaoni_studio;Akaoni Studio;ESP;;ESP
Akatsuki Works;akatsuki_works;Akatsuki Works;JPN;Akatsuki;JPN
Akella;akella;Akella;RUS;;RUS
Aki Corp;aki_corporation;Syn Sophia;JPN;;JPN
Aki Corp.;aki_corporation;Syn Sophia;JPN;;JPN
Aki Corporation;aki_corporation;Syn Sophia;JPN;;JPN
AKI Corporation / EA Canada;aki_ea_canada;EA Canada;USA;Electronic Arts;CAN
Akiisoft;akiisoft;Akiisoft;USA;;USA
Akinai Games;akinai_games;Akinai Games;USA;;USA
Aksys Games;aksys_games;Aksys Games;USA;;USA
Akupara Games;akupara_games;Akupara Games;USA;;USA
Al;al;AL;JPN;;JPN
Al Baker and Associates;al_baker_&_associates;Al Baker & Associates;USA;;USA
Al Factory Ltd. / Rubicon Mobile Ltd;rubicon_mobile;Rubicon Mobile;GBR;;GBR
Alan Hazelden and Harry Lee;hazelden_&_lee;Hazelden & Lee;GBR;;GBR
Alasdair Beckett-King;alasdair_beckett_king;Alasdair Beckett King;GBR;;GBR
Alawar Entertainment;alawar;Alawar;RUS;;RUS
Alawar Entertainment, Inc.;alawar;Alawar;RUS;;RUS
Alcachofa Soft;alcachofa_soft;Alcachofa Soft;ESP;;ESP
Alchemist;alchemist;Alchemist;JPN;;JPN
Alcot;alcot;Alcot;JPN;;JPN
Alda Games;alda_games;Alda Games;CZE;;CZE
Aldorlea Games;aldorlea_games;Aldorlea Games;FRA;;FRA
Alegrium;alegrium;Alegrium;IDN;;IDN
Aleksey Abramenko;aleksey_abramenko;Aleksey Abramenko;RUS;;RUS
Alex Blickenstaff;alex_blickenstaff;Alex Blickenstaff;USA;;USA
Alex Kaiser;alex_kaiser;Alex Kaiser;USA;;USA
Alexandria;alexandria;Alexandria;USA;;USA
Alexandria, Inc.;alexandria;Alexandria;USA;;USA
Alexey Davydov;alexey_davydov;Alexey Davydov;RUS;;RUS
Alexey Pajitnov;alexey_pajitnov;Tetris Company;USA;Tetris Holding;USA
Alexey Saenko;alexey_saenko;Alexey Saenko;RUS;;RUS
AlexioXNA;alexioxna;AlexioXNA;USA;;USA
Alfa System;alfa_system;Alfa System;JPN;;JPN
Alfa System / Mars Corporation;alfa_system;Alfa System;JPN;;JPN
Algorithm Institute;algorithm_institute;Algorithm Institute;JPN;;JPN
Aliasworlds Entertainment;aliasworlds;Aliasworlds;USA;;USA
Alice in Dissonance;alice_in_dissonance;Alice in Dissonance;JPN;;JPN
ALICE IN DISSONANCE;alice_in_dissonance;Alice in Dissonance;JPN;;JPN
Alice Soft;alice_soft;AliceSoft;JPN;;JPN
Alien After All;alien_after_all;Alien After All;ITA;;ITA
Alien Pixel Studios;alien_pixel_studios;Alien Pixel Studios;ROU;;ROU
Alien Technology;alien_technology;Alien Technology;JPN;;JPN
AlienTrap Games;alientrap;Alientrap;CAN;;CAN
Alientrap Games Inc;alientrap;Alientrap;CAN;;CAN
Alientrap Software;alientrap;Alientrap;CAN;;CAN
Alister Software;alister_software;Alister Software;FRA;;FRA
All in! Games;all_in_games;All In Games;POL;;POL
All Yes Good;all_yes_good;All Yes Good;USA;;USA
Alliance Digital Media;alliance_digital;Alliance Digital;USA;;USA
Allicorn Games;allicorn_games;Allicorn Games;USA;;USA
Allied Kingdoms;allied_kingdoms;Allied Kingdoms;USA;;USA
Allied Power;allied_power;Allied Power;USA;;USA
All-templates.biz;all_templates;All Templates;DEU;;DEU
ALL-TiME;all_time;All Time;JPN;;JPN
Almanic Corp;almanic;Almanic;JPN;;JPN
Almanic Corp.;almanic;Almanic;JPN;;JPN
Almost Human;almost_human;Almost Human;FIN;;FIN
Almost Human Games;almost_human;Almost Human;FIN;;FIN
AlMra;almra;AlMra;JPN;;JPN
AloneSoft;alonesoft;AloneSoft;JPN;;JPN
Alpha Denshi;alpha_denshi;Alpha Denshi;JPN;SNK;JPN
Alpha Unit;alpha_unit;Alpha Unit;JPN;;JPN
Alpha-Beta;alpha_beta;Alpha Beta;JPN;;JPN
AlphaDream;alphadream;AlphaDream;JPN;;JPN
AlphaDream Corporation;alphadream;AlphaDream;JPN;;JPN
Alphastar;alphastar;Alphastar;USA;;USA
Alpine Studios;alpine_studios;Alpine Studios;USA;;USA
Alt Shift;alt_shift;Alt Shift;FRA;;FRA
ALT1;alt1;ALT1;KOR;;KOR
Altar Interactive;altar_interactive;Bohemia Interactive;CZE;;CZE
Altar Interactive/Cenega Publishing;altar_interactive;Bohemia Interactive;CZE;;CZE
Alten8;alten8;Alten8;GBR;;GBR
Altered Matter;altered_matter;Altered Matter;ESP;;ESP
Altered Reality;altered_reality;Altered Reality;USA;;USA
Alternative Software;alternative_software;Alternative Software;GBR;;GBR
althi Inc.;althi;Althi;JPN;;JPN
Altron;altron;Altron;JPN;;JPN
Altron Corporation;altron;Altron;JPN;;JPN
ALU;alu;ALU;JPN;;JPN
Alvion;alvion;Alvion;JPN;;JPN
Alvion Inc.;alvion;Alvion;JPN;;JPN
Always On;always_on;Always On;GBR;;GBR
AlwaysNeat;alwaysneat;AlwaysNeat;USA;;USA
Aly Ameen;aly_ameen;Aly Ameen;GBR;;GBR
AM5;am5;Sega AM5;JPN;Sega Sammy Holdings;JPN
AM8;am8;Sega AM8;JPN;Sega Sammy Holdings;JPN
AMA Studios;ama_studios;AMA Studios;BEL;;BEL
Amaginz;amaginz;Amaginz;JPN;;JPN
Amanita Design;amanita_design;Amanita Design;CZE;;CZE
Amanodai;amanodai;Amanodai;JPN;;JPN
Amaranth Games;amaranth_games;Amaranth Games;USA;;USA
Amaterasu Software;amaterasu_software;Amaterasu Software;JPN;;JPN
Amateur Pixels;amateur_pixels;Amateur Pixels;POL;;POL
A-Max;a_max;A Max;JPN;;JPN
Amaze;amaze_entertainment;Foundation 9;USA;;USA
Amaze Entertainment;amaze_entertainment;Foundation 9;USA;;USA
Amaze Entertainment / Griptonite Games;amaze_entertainment;Foundation 9;USA;;USA
Amazing Inc.;amazing_inc;Amazing;JPN;;JPN
Amazing Media;amazing_media;Amazing Media;USA;;USA
Amazing Studios;amazing_studios;Amazing Studios;FRA;;FRA
Amazon Game Studios;amazon_games;Amazon Games;USA;Amazon;USA
Amber Studio;amber_studio;Amber Studio;ROU;;ROU
Ambition;ambition;Ambition;JPN;;JPN
Ambrella;ambrella;Ambrella;JPN;Nintendo;JPN
Ambrosia;ambrosia_software;Ambrosia Software;USA;;USA
Amedeo;amedeo;Amedeo;JPN;;JPN
Amedio;amedeo;Amedeo;JPN;;JPN
American Game Cartridges;american_game_cartridges;American Game Cartridges;USA;;USA
American Game Cartridges, Inc.;american_game_cartridges;American Game Cartridges;USA;;USA
American Laser Games;american_laser_games;Her Interactive;USA;American Laser Games;USA
American Laser Games, Inc;american_laser_games;Her Interactive;USA;American Laser Games;USA
American Laser Games, Inc.;american_laser_games;Her Interactive;USA;American Laser Games;USA
American Sammy;american_sammy;American Sammy;JPN;Sega Sammy Holdings;USA
American Softworks;american_softworks;American Softworks;USA;;USA
American Technos;american_technos;American Technos;USA;;USA
American Video Entertaiment;american_video_entertainment;American Video Entertainment;USA;;USA
American Video Entertainment;american_video_entertainment;American Video Entertainment;USA;;USA
Amiga;amiga;Commodore;USA;;USA
Amistech Games;amistech_games;Amistech Games;FIN;;FIN
Amnesty Design;amnesty_design;Amnesty Design;JPN;;JPN
Amplify Creations;amplify_creations;Amplify Creations;PRT;;PRT
Amplitude Studios;amplitude_studios;Amplitude Studios;JPN;Sega Sammy Holdings;FRA
AMS;ams;AMS;JPN;;JPN
Amtechs;amtechs;Amtechs;JPN;;JPN
Amtex;amtex;Amtex;USA;;USA
Amuse;amuse;Amuse;JPN;Amuse;JPN
Amuse Productions;amuse;Amuse;JPN;Amuse;JPN
Amusement Vision;amusement_vision;Amusement Vision;JPN;Sega Sammy Holdings;JPN
Amuze;amuze;Amuse;JPN;Amuse;JPN
Amuzo;amuzo;Amuzo;GBR;;GBR
Amzy;amzy;Amzy;JPN;;JPN
Anaconda;anaconda;Anaconda;DEU;;DEU
Analgesic Productions;analgesic_productions;Analgesic Productions;USA;;USA
Anansi Studios;anansi_studios;Anansi Studios;USA;;USA
Anarchy Enterprises;anarchy_enterprises;Anarchy Enterprises;USA;;USA
Anatoliy Loginovskikh;anatoliy_loginovskikh;Anatoliy Loginovskikh;RUS;;RUS
